,1st_place,2nd_place,3rd_place
11,Hershey Kisses,,
2,Snickers,,
44,Jolly Ranchers Candy,,
34,Hot Tamales,,
28,Hershey Kisses,,
16,M&M's,,
3,Jolly Ranchers Candy,,
50,Reese's Peanut Butter Cups,,
29,Starburst,,
45,Milky Way,,
12,Candy Corn,,
27,Sour Patch Kids,,
4,Assorted Salt Water Taffy,,
31,Candy Corn,,
23,Skittles,,
19,Sour Patch Kids,,
24,3 Musketeers,,
8,M&M's,,
46,Hot Tamales,,
9,Skittles,,
41,Starburst,,
47,Salt Water Taffy,,
38,Skittles,,
26,Dubble Bubble Gum,,
40,Candy Corn,,
7,Life Savers,,
18,Lemonheads,,
49,Butterfinger,,
30,Tootsie Pops,,
37,Reese's Peanut Butter Cups,,
48,Blow Pops,,
15,Reese's Peanut Butter Cups,,
35,M&M's,,
22,Candy Corn,,
39,Candy Corn,,
17,Tootsie Pops,,
13,Kit Kat,,
0,Hershey's Mini Chocolate Candy Bars,,
14,Hot Tamales,,
10,Swedish Fish,,
21,Butterfinger,,
33,Reese's Peanut Butter Cups,,
32,Sour Patch Kids,,
1,Twix,,
43,Reese's Peanut Butter Cups,,
25,Milky Way,,
42,Tootsie Pops,,
20,Milky Way,,
36,Snickers,,
5,Twix,,
6,Almond Joy,,
11,,Hawaiian Host,
2,,Hershey Kisses,
44,,Reese's Peanut Butter Cups,
34,,Jolly Ranchers Candy,
28,,Candy Corn,
16,,Reese's Peanut Butter Cups,
3,,Butterfinger,
50,,Salt Water Taffy,
29,,Snickers,
45,,M&M's,
12,,Starburst,
27,,Salt Water Taffy,
4,,M&M's,
31,,Milky Way,
23,,Tootsie Pops,
19,,M&M's,
24,,Snickers,
8,,Tootsie Pops,
46,,Snickers,
9,,Snickers,
41,,Jolly Ranchers Candy,
47,,Tootsie Pops,
38,,M&M's,
26,,Twix,
40,,Skittles,
7,,Skittles,
18,,Reese's Peanut Butter Cups,
49,,Starburst,
30,,Skittles,
37,,M&M's,
48,,Hershey's Mini Chocolate Candy Bars,
15,,M&M's,
35,,Blow Pops,
22,,Skittles,
39,,M&M's,
17,,3 Musketeers,
13,,Sour Patch Kids,
0,,Candy Corn,
14,,Starburst,
10,,Hershey Kisses,
21,,Sour Patch Kids,
33,,M&M's,
32,,Candy Corn,
1,,Blow Pops,
43,,Starburst,
25,,Dubble Bubble Gum,
42,,Salt Water Taffy,
20,,Reese's Peanut Butter Cups,
36,,Dubble Bubble Gum,
5,,Milky Way,
6,,Milky Way,
11,,,Milky Way
2,,,Hot Tamales Minis
44,,,Tootsie Pops
34,,,Candy Corn
28,,,Skittles
16,,,Dubble Bubble Gum
3,,,Hot Tamales Minis
50,,,Skittles
29,,,Sour Patch Kids
45,,,Skittles
12,,,Reese's Peanut Butter Cups
27,,,M&M's
4,,,Skittles
31,,,Salt Water Taffy
23,,,Almond Joy
19,,,Starburst
24,,,Butterfinger
8,,,Blow Pops
46,,,Candy Corn
9,,,Reese's Peanut Butter Cups
41,,,Almond Joy
47,,,Hershey Kisses
38,,,Hershey's Mini Chocolate Candy Bars
26,,,M&M's
40,,,Hot Tamales Minis
7,,,Candy Corn
18,,,Jolly Ranchers Candy
49,,,Lemonheads
30,,,M&M's
37,,,Tootsie Pops
48,,,Milky Way
15,,,Butterfinger
35,,,Snickers
22,,,Starburst
39,,,Twix
17,,,Dubble Bubble Gum
13,,,M&M's
0,,,Tootsie Pops
14,,,Snickers
10,,,Lemonheads
21,,,Salt Water Taffy
33,,,Candy Corn
32,,,Reese's Peanut Butter Cups
1,,,Kit Kat
43,,,Almond Joy
25,,,Butterfinger
42,,,Skittles
20,,,Skittles
36,,,Butterfinger
5,,,Hershey Kisses
6,,,M&M's
